Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1
pairwise,"[1, 2]",4.370814800262451,0,0,1,1.0,1.0,1.0
pairwise,"[1, 2]",8.033998727798462,0,1,1,1.0,1.0,1.0
pairwise,"[1, 2]",11.958473920822144,0,2,0,0.16666666666666666,0.5,0.25
pairwise,"[1, 2]",15.570253610610962,0,3,1,1.0,1.0,1.0
pairwise,"[1, 2]",19.51229476928711,0,5,0,0,0,0
pairwise,"[1, 2]",23.245168685913086,0,6,1,1.0,1.0,1.0
pairwise,"[1, 2]",26.91092562675476,0,7,0,0,0,0
pairwise,"[1, 2]",30.543948650360107,0,8,1,1.0,1.0,1.0
pairwise,"[1, 2]",40.1076717376709,1,0,0,0.5,0.3333333333333333,0.4
pairwise,"[1, 2]",49.866490840911865,1,1,0,0,0,0
pairwise,"[1, 2]",59.307785987854004,1,2,0,1.0,0.14285714285714285,0.25
pairwise,"[1, 2]",68.73821902275085,1,3,1,1.0,1.0,1.0
pairwise,"[1, 2]",78.18490386009216,1,4,1,1.0,1.0,1.0
pairwise,"[1, 2]",87.70682072639465,1,5,1,1.0,1.0,1.0
pairwise,"[1, 2]",97.12874794006348,1,7,0,0,0,0
pairwise,"[1, 2]",97.35025477409363,2,0,0,0,0,0
pairwise,"[1, 2]",97.37516164779663,2,2,0,0,0,0
pairwise,"[1, 2]",97.41048765182495,2,5,0,0,0,0
pairwise,"[1, 2]",97.45794582366943,2,7,0,0,0,0
pairwise,"[1, 2]",97.49568486213684,2,8,0,0,0,0
pairwise,"[1, 2]",97.63446378707886,3,0,0,0,0,0
pairwise,"[1, 2]",97.67093563079834,3,1,0,0,0,0
pairwise,"[1, 2]",97.7071487903595,3,2,0,0,0,0
pairwise,"[1, 2]",97.73679876327515,3,3,0,0,0,0
pairwise,"[1, 2]",97.77022695541382,3,4,0,0,0,0
pairwise,"[1, 2]",97.80651473999023,3,6,0,0,0,0
pairwise,"[1, 2]",97.84366369247437,3,7,0,0,0,0
pairwise,"[1, 2]",97.97388076782227,4,0,0,0,0,0
pairwise,"[1, 2]",98.01274871826172,4,2,0,0,0,0
pairwise,"[1, 2]",113.84485983848572,4,3,0,0,0,0
pairwise,"[1, 2]",113.874027967453,4,5,0,0,0,0
pairwise,"[1, 2]",113.90996670722961,4,6,0,0,0,0
pairwise,"[1, 2]",129.75688481330872,4,7,0,0,0,0
pairwise,"[1, 2]",130.00892066955566,5,0,0,0,0,0
pairwise,"[1, 2]",130.0371608734131,5,1,0,0,0,0
pairwise,"[1, 2]",130.07292795181274,5,2,0,0,0,0
pairwise,"[1, 2]",130.12272191047668,5,4,0,0,0,0
pairwise,"[1, 2]",130.1723117828369,5,7,0,0,0,0
pairwise,"[1, 2]",130.21112489700317,5,8,0,0,0,0
pairwise,"[1, 2]",130.4980297088623,6,0,0,0,0,0
pairwise,"[1, 2]",144.31164288520813,6,1,0,0,0,0
pairwise,"[1, 2]",144.39205765724182,6,4,0,0,0,0
pairwise,"[1, 2]",161.4721918106079,6,5,0,0,0,0
pairwise,"[1, 2]",161.50527691841125,6,6,0,0,0,0
pairwise,"[1, 2]",161.54046177864075,6,7,0,0,0,0
pairwise,"[1, 2]",161.64268898963928,7,4,0,0,0,0
pairwise,"[1, 2]",174.93975186347961,7,7,1,1.0,1.0,1.0
pairwise,"[1, 2]",175.01015782356262,7,10,0,0,0,0
pairwise,"[1, 2]",175.0545358657837,7,11,0,0,0,0
pairwise,"[1, 2]",175.2029378414154,8,2,0,0,0,0
pairwise,"[1, 2]",193.73265981674194,8,4,0,0.5,0.5,0.5
pairwise,"[1, 2]",193.7614939212799,8,5,0,0,0,0
pairwise,"[1, 2]",193.80186581611633,8,6,0,0,0,0
pairwise,"[1, 2]",193.8423318862915,8,7,0,0,0,0
pairwise,"[1, 2]",193.88527584075928,8,8,0,0,0,0
pairwise,"[1, 2]",193.92107582092285,8,9,0,0,0,0
pairwise,"[1, 2]",193.9552948474884,8,10,0,0,0,0
pairwise,"[1, 2]",194.12810277938843,9,0,0,0,0,0
pairwise,"[1, 2]",194.16441178321838,9,1,0,0,0,0
pairwise,"[1, 2]",194.1975028514862,9,2,0,0,0,0
pairwise,"[1, 2]",194.23218083381653,9,3,0,0,0,0
pairwise,"[1, 2]",194.25959277153015,9,4,0,0,0,0
pairwise,"[1, 2]",194.2968409061432,9,5,0,0,0,0
pairwise,"[1, 2]",194.3410518169403,9,6,0,0,0,0
pairwise,"[1, 2]",194.37856578826904,9,7,0,0,0,0
pairwise,"[1, 2]",194.41373991966248,9,8,0,0,0,0
pairwise,"[1, 2]",194.57415771484375,10,0,0,0,0,0
pairwise,"[1, 2]",194.6100127696991,10,1,0,0,0,0
pairwise,"[1, 2]",194.64139080047607,10,2,0,0,0,0
pairwise,"[1, 2]",194.67524981498718,10,4,0,0,0,0
pairwise,"[1, 2]",194.71483373641968,10,5,0,0,0,0
pairwise,"[1, 2]",194.74941778182983,10,6,0,0,0,0
pairwise,"[1, 2]",194.7848997116089,10,8,0,0,0,0
pairwise,"[1, 2]",194.9717926979065,11,1,0,0,0,0
pairwise,"[1, 2]",195.01245594024658,11,2,0,0,0,0
pairwise,"[1, 2]",195.05085587501526,11,3,0,0,0,0
pairwise,"[1, 2]",195.0877628326416,11,4,0,0,0,0
pairwise,"[1, 2]",213.06408071517944,11,5,0,1.0,0.3333333333333333,0.5
pairwise,"[1, 2]",213.09592294692993,11,6,0,0,0,0
pairwise,"[1, 2]",213.25011777877808,12,0,0,0,0,0
pairwise,"[1, 2]",213.27756595611572,12,1,0,0,0,0
pairwise,"[1, 2]",213.31182980537415,12,2,0,0,0,0
pairwise,"[1, 2]",213.35097694396973,12,3,0,0,0,0
pairwise,"[1, 2]",213.3842318058014,12,4,0,0,0,0
pairwise,"[1, 2]",213.41804385185242,12,5,0,0,0,0
pairwise,"[1, 2]",213.45434188842773,12,6,0,0,0,0
pairwise,"[1, 2]",213.4904477596283,12,7,0,0,0,0
pairwise,"[1, 2]",213.763986825943,13,2,0,0,0,0
pairwise,"[1, 2]",213.79807591438293,13,3,0,0,0,0
pairwise,"[1, 2]",213.82807779312134,13,4,0,0,0,0
pairwise,"[1, 2]",213.8649070262909,13,6,0,0,0,0
pairwise,"[1, 2]",213.9021828174591,13,7,0,0,0,0
pairwise,"[1, 2]",213.93779683113098,13,8,0,0,0,0
pairwise,"[1, 2]",214.21561765670776,14,0,0,0,0,0
pairwise,"[1, 2]",230.95602774620056,14,1,0,0,0,0
pairwise,"[1, 2]",230.98908686637878,14,2,0,0,0,0
pairwise,"[1, 2]",247.64402198791504,14,3,0,0,0,0
pairwise,"[1, 2]",247.6750419139862,14,4,0,0,0,0
pairwise,"[1, 2]",247.71675896644592,14,5,0,0,0,0
pairwise,"[1, 2]",247.75511384010315,14,7,0,0,0,0
pairwise,"[1, 2]",248.0206217765808,15,0,0,0,0,0
pairwise,"[1, 2]",265.956946849823,15,3,0,0,0,0
pairwise,"[1, 2]",265.99023485183716,15,4,0,0,0,0
pairwise,"[1, 2]",266.0241746902466,15,5,0,0,0,0
pairwise,"[1, 2]",266.1439917087555,16,1,0,0,0,0
pairwise,"[1, 2]",266.18327593803406,16,2,0,0,0,0
pairwise,"[1, 2]",284.68266701698303,16,3,0,0,0,0
pairwise,"[1, 2]",284.7115647792816,16,4,0,0,0,0
pairwise,"[1, 2]",285.1158709526062,17,0,0,0,0,0
pairwise,"[1, 2]",285.1622648239136,17,1,0,0,0,0
pairwise,"[1, 2]",285.2049627304077,17,2,0,0,0,0
pairwise,"[1, 2]",285.24666690826416,17,4,0,0,0,0
pairwise,"[1, 2]",285.2876899242401,17,5,0,0,0,0
