Chunk_size,Chunk_Overlap,Dist_Func,Top_N,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
100,0,pairwise,1,5.890075206756592,0,0,1,1.0,1.0,1.0,0
100,0,pairwise,1,9.555017948150635,0,1,1,1.0,1.0,1.0,0
100,0,pairwise,1,13.470049142837524,0,2,0,0.16666666666666666,0.5,0.25,0
100,0,pairwise,1,17.075809001922607,0,3,1,1.0,1.0,1.0,0
100,0,pairwise,1,21.011930227279663,0,5,0,0,0,0,0
100,0,pairwise,1,24.73959708213806,0,6,1,1.0,1.0,1.0,0
100,0,pairwise,1,28.397446155548096,0,7,0,0,0,0,0
100,0,pairwise,1,32.022716999053955,0,8,1,1.0,1.0,1.0,0
100,0,pairwise,1,41.52821707725525,1,0,0,0.5,0.3333333333333333,0.4,0
100,0,pairwise,1,51.274090051651,1,1,0,0,0,0,0
100,0,pairwise,1,60.708369970321655,1,2,0,1.0,0.14285714285714285,0.25,0
100,0,pairwise,1,70.13024425506592,1,3,1,1.0,1.0,1.0,0
100,0,pairwise,1,79.55111122131348,1,4,1,1.0,1.0,1.0,0
100,0,pairwise,1,89.04937505722046,1,5,1,1.0,1.0,1.0,0
100,0,pairwise,1,98.46102619171143,1,7,0,0,0,0,0
100,0,pairwise,1,115.06244921684265,4,3,0,0,0,0,0
100,0,pairwise,1,130.93390011787415,4,7,0,0,0,0,0
100,0,pairwise,1,145.32419109344482,6,1,0,0,0,0,0
100,0,pairwise,1,162.40511012077332,6,5,0,0,0,0,0
100,0,pairwise,1,175.85323405265808,7,7,1,1.0,1.0,1.0,0
100,0,pairwise,1,194.55092811584473,8,4,0,0.5,0.5,0.5,0
100,0,pairwise,1,213.4888141155243,11,5,0,1.0,0.3333333333333333,0.5,0
100,0,pairwise,1,230.93309020996094,14,1,0,0,0,0,0
100,0,pairwise,1,247.56957006454468,14,3,0,0,0,0,0
100,0,pairwise,1,265.7749192714691,15,3,0,0,0,0,0
100,0,pairwise,1,284.46105122566223,16,3,0,0,0,0,0
100,0,pairwise,1,301.7682981491089,20,1,0,0,0,0,0
100,0,pairwise,1,316.88640427589417,21,5,0,0,0,0,0
100,0,pairwise,1,334.84468817710876,21,8,0,0,0,0,0
100,0,pairwise,1,353.2609860897064,24,5,1,1.0,1.0,1.0,0
100,0,pairwise,1,369.4252281188965,24,10,0,0.6666666666666666,1.0,0.8,0
100,0,pairwise,1,388.5576729774475,28,2,0,0,0,0,0
100,0,pairwise,1,406.12232303619385,28,3,0,0,0,0,0
100,0,pairwise,1,423.137314081192,29,0,1,1.0,1.0,1.0,0
100,0,pairwise,1,443.0651593208313,34,2,0,0,0,0,0
100,0,pairwise,1,461.38518929481506,36,10,0,0.34782608695652173,1.0,0.5161290322580645,0
100,0,pairwise,1,477.834908246994,36,24,0,0,0,0,0
100,0,pairwise,1,495.0697269439697,37,4,0,0,0,0,0
100,0,pairwise,1,513.01962018013,38,5,0,0.07692307692307693,0.09090909090909091,0.08333333333333334,0
100,0,pairwise,1,531.4324841499329,45,1,0,0,0,0,0
100,0,pairwise,1,550.8184370994568,49,4,0,0.3333333333333333,1.0,0.5,0
100,0,pairwise,1,570.9530203342438,55,1,0,0,0,0,0
100,0,pairwise,1,589.4491581916809,57,2,1,1.0,1.0,1.0,0
100,0,pairwise,1,606.9742321968079,57,7,0,0,0,0,0
100,0,pairwise,1,620.7418539524078,58,0,1,1.0,1.0,1.0,0
100,0,pairwise,1,640.5101971626282,60,3,0,0,0,0,0
100,0,pairwise,1,658.8556730747223,65,5,0,0,0,0,0
100,0,pairwise,1,675.2133781909943,67,3,0,0,0,0,0
100,0,pairwise,1,693.9890842437744,70,0,1,1.0,1.0,1.0,0
100,0,pairwise,1,712.0332090854645,70,3,0,0,0,0,0
100,0,pairwise,1,730.2433049678802,70,8,0,0,0,0,0
100,0,pairwise,1,744.9033031463623,74,0,0,0,0,0,0
100,0,pairwise,1,762.2005262374878,74,6,0,0,0,0,0
100,0,pairwise,1,778.4888582229614,84,8,0,0,0,0,0
100,0,pairwise,1,798.7487239837646,90,2,0,0,0,0,0
100,0,pairwise,1,815.2634761333466,90,4,0,0,0,0,0
100,0,pairwise,1,834.8000500202179,93,28,0,0,0,0,0
100,0,pairwise,1,851.3147671222687,94,6,0,0,0,0,0
100,0,pairwise,1,867.0419692993164,97,7,1,1.0,1.0,1.0,0
100,0,pairwise,1,881.6589691638947,97,10,1,1.0,1.0,1.0,0
100,0,pairwise,1,897.9420070648193,97,14,0,0,0,0,0
100,0,pairwise,1,912.5465531349182,97,16,0,1.0,0.16666666666666666,0.2857142857142857,0
100,0,pairwise,1,927.3656902313232,97,22,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,1,942.0732049942017,97,24,1,1.0,1.0,1.0,0
100,0,pairwise,1,957.389867067337,98,8,0,0.5,1.0,0.6666666666666666,0
100,0,pairwise,2,974.1889312267303,0,0,1,1.0,1.0,1.0,0
100,0,pairwise,2,991.7560031414032,0,5,0,0,0,0,0
100,0,pairwise,2,1011.745404958725,4,5,0,0,0,0,0
100,0,pairwise,2,1030.101686000824,6,1,0,0,0,0,0
100,0,pairwise,2,1044.2535891532898,7,4,1,1.0,1.0,1.0,0
100,0,pairwise,2,1060.4598269462585,18,8,0,0.4166666666666667,1.0,0.5882352941176471,0
100,0,pairwise,2,1077.6064031124115,20,1,1,1.0,1.0,1.0,0
100,0,pairwise,2,1094.401649236679,20,2,0,0.14285714285714285,1.0,0.25,0
100,0,pairwise,2,1109.5930042266846,20,4,1,1.0,1.0,1.0,0
100,0,pairwise,2,1146.3075940608978,21,1,0,0,0,0,0
100,0,pairwise,2,1164.493746995926,21,4,0,0,0,0,0
100,0,pairwise,2,1181.3320560455322,22,6,0,0,0,0,0
100,0,pairwise,2,1203.0509350299835,34,0,0,0,0,0,0
100,0,pairwise,2,1219.3235189914703,34,2,0,0,0,0,0
100,0,pairwise,2,1236.0622651576996,34,7,0,0.5,0.4,0.4444444444444445,0
100,0,pairwise,2,1254.755568265915,36,1,0,0,0,0,0
100,0,pairwise,2,1268.8639559745789,37,4,0,0,0,0,0
100,0,pairwise,2,1281.2428631782532,37,8,0,0,0,0,0
100,0,pairwise,2,1295.692029953003,38,6,0,0,0,0,0
100,0,pairwise,2,1309.6535642147064,38,8,0,0,0,0,0
100,0,pairwise,2,1327.7619090080261,40,1,1,1.0,1.0,1.0,0
100,0,pairwise,2,1346.0725450515747,43,2,0,0,0,0,0
100,0,pairwise,2,1362.9866659641266,43,5,0,0,0,0,0
100,0,pairwise,2,1381.121336221695,49,4,0,0.3,1.0,0.4615384615384615,0
100,0,pairwise,2,1398.8859691619873,51,1,0,0,0,0,0
100,0,pairwise,2,1416.4463202953339,57,1,0,0,0,0,0
100,0,pairwise,2,1432.9388680458069,57,2,0,0,0,0,0
100,0,pairwise,2,1448.9408390522003,57,4,0,1.0,0.16666666666666666,0.2857142857142857,0
100,0,pairwise,2,1464.8740491867065,57,5,0,0,0,0,0
100,0,pairwise,2,1483.6782820224762,57,7,0,0,0,0,0
100,0,pairwise,2,1495.7376079559326,57,8,1,1.0,1.0,1.0,0
100,0,pairwise,2,1509.4236931800842,58,0,1,1.0,1.0,1.0,0
100,0,pairwise,2,1525.2821938991547,59,1,0,0,0,0,0
100,0,pairwise,2,1540.2931802272797,59,3,0,0,0,0,0
100,0,pairwise,2,1553.5854992866516,59,7,0,0,0,0,0
100,0,pairwise,2,1574.091679096222,65,5,0,0,0,0,0
100,0,pairwise,2,1590.3181519508362,65,7,0,0,0,0,0
100,0,pairwise,2,1607.1040461063385,67,6,1,1.0,1.0,1.0,0
100,0,pairwise,2,1622.3122429847717,70,0,1,1.0,1.0,1.0,0
100,0,pairwise,2,1636.989778995514,70,1,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,2,1651.5695021152496,70,2,0,0,0,0,0
100,0,pairwise,2,1666.4835588932037,70,3,0,0.2222222222222222,1.0,0.3636363636363636,0
100,0,pairwise,2,1681.1187341213226,70,4,1,1.0,1.0,1.0,0
100,0,pairwise,2,1695.7915091514587,70,8,0,0,0,0,0
100,0,pairwise,2,1710.3290932178497,73,7,0,0,0,0,0
100,0,pairwise,2,1727.1826541423798,74,0,0,0,0,0,0
100,0,pairwise,2,1744.6901772022247,74,3,0,0,0,0,0
100,0,pairwise,2,1754.38911318779,74,4,0,0.1875,1.0,0.3157894736842105,0
100,0,pairwise,2,1771.70214509964,74,6,0,0,0,0,0
100,0,pairwise,2,1783.8676443099976,84,8,0,0,0,0,0
100,0,pairwise,2,1800.2675120830536,86,6,1,1.0,1.0,1.0,0
100,0,pairwise,2,1814.5053923130035,86,8,1,1.0,1.0,1.0,0
100,0,pairwise,2,1830.6562650203705,87,0,0,0,0,0,0
100,0,pairwise,2,1848.6872861385345,90,0,0,0,0,0,0
100,0,pairwise,2,1854.6936061382294,90,2,0,0,0,0,0
100,0,pairwise,2,1863.7170193195343,90,3,0,0,0,0,0
100,0,pairwise,2,1871.7488870620728,90,6,0,1.0,0.3333333333333333,0.5,0
100,0,pairwise,2,1886.9454462528229,90,7,0,0,0,0,0
100,0,pairwise,2,1904.408723115921,93,28,0,0,0,0,0
100,0,pairwise,2,1921.6283161640167,94,1,0,0,0,0,0
100,0,pairwise,2,1938.6821730136871,94,2,0,0,0,0,0
100,0,pairwise,2,1955.8804380893707,94,3,0,0,0,0,0
100,0,pairwise,2,1971.8204159736633,94,6,0,0,0,0,0
100,0,pairwise,2,1988.9376871585846,94,7,0,1.0,0.5,0.6666666666666666,0
100,0,pairwise,2,2005.2680070400238,94,8,0,0.25,1.0,0.4,0
100,0,pairwise,2,2023.6507420539856,95,7,1,1.0,1.0,1.0,0
100,0,pairwise,2,2039.0753231048584,97,0,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,2,2054.110141992569,97,1,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,2,2067.9999072551727,97,2,0,0,0,0,0
100,0,pairwise,2,2083.106819152832,97,3,1,1.0,1.0,1.0,0
100,0,pairwise,2,2098.226649284363,97,4,1,1.0,1.0,1.0,0
100,0,pairwise,2,2109.7225601673126,97,6,0,0,0,0,0
100,0,pairwise,2,2124.7454941272736,97,7,1,1.0,1.0,1.0,0
100,0,pairwise,2,2138.046863079071,97,9,1,1.0,1.0,1.0,0
100,0,pairwise,2,2153.065685033798,97,10,1,1.0,1.0,1.0,0
100,0,pairwise,2,2168.173665046692,97,12,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,2,2181.5107781887054,97,14,1,1.0,1.0,1.0,0
100,0,pairwise,2,2196.5299320220947,97,15,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,2,2211.551565170288,97,16,0,1.0,0.16666666666666666,0.2857142857142857,0
100,0,pairwise,2,2224.392739057541,97,17,1,1.0,1.0,1.0,0
100,0,pairwise,2,2239.5365660190582,97,18,0,0,0,0,0
100,0,pairwise,2,2252.305074930191,97,20,1,1.0,1.0,1.0,0
100,0,pairwise,2,2267.4616708755493,97,21,1,1.0,1.0,1.0,0
100,0,pairwise,2,2282.4951691627502,97,22,0,1.0,0.6666666666666666,0.8,0
100,0,pairwise,2,2295.33611702919,97,23,1,1.0,1.0,1.0,0
100,0,pairwise,2,2308.791764974594,97,24,1,1.0,1.0,1.0,0
100,0,pairwise,2,2326.123301267624,97,25,1,1.0,1.0,1.0,0
100,0,pairwise,2,2339.964720249176,98,8,0,0,0,0,0
100,0,cosine,1,2354.384509086609,0,0,1,1.0,1.0,1.0,0
100,0,cosine,1,2372.5065910816193,0,1,0,0.5,1.0,0.6666666666666666,0
100,0,cosine,1,2391.1431941986084,0,2,0,0,0,0,0
100,0,cosine,1,2406.7622652053833,0,5,0,0,0,0,0
100,0,cosine,1,2424.512444972992,0,6,1,1.0,1.0,1.0,0
100,0,cosine,1,2443.0908250808716,0,8,1,1.0,1.0,1.0,0
100,0,cosine,1,2462.651281118393,4,5,0,0,0,0,0
100,0,cosine,1,2481.084007024765,4,7,0,0.5,1.0,0.6666666666666666,0
100,0,cosine,1,2496.4631712436676,5,2,0,0.5,1.0,0.6666666666666666,0
100,0,cosine,1,2511.2655091285706,5,7,1,1.0,1.0,1.0,0
100,0,cosine,1,2528.245027065277,6,1,0,0,0,0,0
100,0,cosine,1,2544.01203417778,7,4,1,1.0,1.0,1.0,0
100,0,cosine,1,2558.7902143001556,7,10,0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0
100,0,cosine,1,2573.7410900592804,7,11,1,1.0,1.0,1.0,0
100,0,cosine,1,2592.288322210312,8,5,1,1.0,1.0,1.0,0
100,0,cosine,1,2608.864767074585,9,0,0,0,0,0,0
100,0,cosine,1,2628.2803819179535,13,6,0,0,0,0,0
100,0,cosine,1,2645.02188706398,18,5,0,0,0,0,0
100,0,cosine,1,2660.1965272426605,18,7,0,0.16666666666666666,0.07142857142857142,0.1,0
100,0,cosine,1,2673.0087151527405,18,8,0,0.4166666666666667,1.0,0.5882352941176471,0
100,0,cosine,1,2687.1914229393005,19,6,0,0,0,0,0
100,0,cosine,1,2699.796108007431,20,2,0,0.125,1.0,0.2222222222222222,0
100,0,cosine,1,2711.928477048874,20,4,1,1.0,1.0,1.0,0
100,0,cosine,1,2737.327236175537,21,1,0,0,0,0,0
100,0,cosine,1,2756.039922952652,22,6,0,0,0,0,0
100,0,cosine,1,2773.876118183136,23,8,0,0,0,0,0
100,0,cosine,1,2794.627063035965,34,0,1,1.0,1.0,1.0,0
100,0,cosine,1,2811.5190210342407,34,2,0,0.07692307692307693,1.0,0.14285714285714288,0
100,0,cosine,1,2830.7938282489777,37,1,0,0,0,0,0
100,0,cosine,1,2849.118807077408,37,2,0,0,0,0,0
100,0,cosine,1,2861.9470641613007,37,4,0,0,0,0,0
100,0,cosine,1,2876.1925110816956,37,8,1,1.0,1.0,1.0,0
100,0,cosine,1,2893.2500932216644,38,6,0,0,0,0,0
100,0,cosine,1,2904.7725071907043,38,8,0,0,0,0,0
100,0,cosine,1,2917.6481580734253,39,1,0,0,0,0,0
100,0,cosine,1,2932.7588441371918,40,2,0,0,0,0,0
100,0,cosine,1,2948.2274401187897,43,2,0,0,0,0,0
100,0,cosine,1,2960.6359441280365,43,5,0,0,0,0,0
100,0,cosine,1,3000.583181142807,51,1,0,0,0,0,0
100,0,cosine,1,3018.821670293808,55,7,0,0,0,0,0
100,0,cosine,1,3036.208689212799,57,1,0,0,0,0,0
100,0,cosine,1,3052.242900133133,57,2,1,1.0,1.0,1.0,0
100,0,cosine,1,3069.2602801322937,57,4,0,1.0,0.16666666666666666,0.2857142857142857,0
100,0,cosine,1,3086.2981419563293,57,5,0,0,0,0,0
100,0,cosine,1,3104.4513721466064,57,7,0,0,0,0,0
100,0,cosine,1,3120.5206820964813,57,8,1,1.0,1.0,1.0,0
100,0,cosine,1,3130.3048100471497,58,0,1,1.0,1.0,1.0,0
100,0,cosine,1,3146.4339151382446,59,1,0,0,0,0,0
100,0,cosine,1,3163.779555082321,59,2,1,1.0,1.0,1.0,0
100,0,cosine,1,3171.5987691879272,59,3,0,0,0,0,0
100,0,cosine,1,3189.8972170352936,59,7,0,0,0,0,0
100,0,cosine,1,3204.2483961582184,60,3,0,0,0,0,0
100,0,cosine,1,3223.294363260269,63,0,0,0.5,0.3333333333333333,0.4,0
100,0,cosine,1,3240.356985092163,63,5,0,0,0,0,0
100,0,cosine,1,3256.576642036438,64,4,0,0,0,0,0
100,0,cosine,1,3274.776701927185,65,5,0,0,0,0,0
100,0,cosine,1,3286.345913171768,70,3,0,0.2222222222222222,1.0,0.3636363636363636,0
100,0,cosine,1,3304.262398004532,73,7,0,0,0,0,0
100,0,cosine,1,3320.09299826622,73,8,0,0,0,0,0
100,0,cosine,1,3334.478102207184,74,0,0,0,0,0,0
100,0,cosine,1,3351.815089225769,74,1,1,1.0,1.0,1.0,0
100,0,cosine,1,3366.568644285202,74,3,0,0,0,0,0
100,0,cosine,1,3381.215277194977,74,6,0,0,0,0,0
100,0,cosine,1,3396.9359271526337,74,8,0,1.0,0.5,0.6666666666666666,0
100,0,cosine,1,3415.1888420581818,76,3,0,0,0,0,0
100,0,cosine,1,3433.855970144272,78,1,0,0.5,0.5,0.5,0
100,0,cosine,1,3446.197041273117,78,4,0,0.16666666666666666,0.5,0.25,0
100,0,cosine,1,3459.9171299934387,80,5,0,0,0,0,0
100,0,cosine,1,3478.147113084793,83,8,0,0,0,0,0
100,0,cosine,1,3488.989636182785,84,8,0,0,0,0,0
100,0,cosine,1,3505.056074142456,86,6,1,1.0,1.0,1.0,0
100,0,cosine,1,3519.7877192497253,86,8,1,1.0,1.0,1.0,0
100,0,cosine,1,3535.564321041107,87,0,0,0,0,0,0
100,0,cosine,1,3551.672380208969,90,0,0,0,0,0,0
100,0,cosine,1,3557.4491751194,90,2,0,0,0,0,0
100,0,cosine,1,3568.5688829421997,90,3,0,0,0,0,0
100,0,cosine,1,3582.785752058029,90,4,0,1.0,0.5,0.6666666666666666,0
100,0,cosine,1,3589.623537302017,90,6,0,0,0,0,0
100,0,cosine,1,3603.8480529785156,90,7,0,0,0,0,0
100,0,cosine,1,3619.9283142089844,91,7,0,0,0,0,0
100,0,cosine,1,3633.8916652202606,93,28,0,0,0,0,0
100,0,cosine,1,3652.251360177994,94,1,0,0,0,0,0
100,0,cosine,1,3670.4222400188446,94,2,0,0,0,0,0
100,0,cosine,1,3688.7164952754974,94,3,0,0,0,0,0
100,0,cosine,1,3706.9447162151337,94,7,0,1.0,0.5,0.6666666666666666,0
100,0,cosine,1,3724.8545701503754,94,8,0,0.25,1.0,0.4,0
100,0,cosine,1,3739.877692222595,97,0,0,1.0,0.6666666666666666,0.8,0
100,0,cosine,1,3754.2359120845795,97,1,0,1.0,0.6666666666666666,0.8,0
100,0,cosine,1,3767.690635204315,97,2,0,0,0,0,0
100,0,cosine,1,3782.175758123398,97,3,0,0,0,0,0
100,0,cosine,1,3796.616165161133,97,4,1,1.0,1.0,1.0,0
100,0,cosine,1,3807.390356063843,97,6,0,0,0,0,0
100,0,cosine,1,3821.7507491111755,97,7,1,1.0,1.0,1.0,0
100,0,cosine,1,3836.1370692253113,97,10,1,1.0,1.0,1.0,0
100,0,cosine,1,3850.5528609752655,97,12,0,1.0,0.6666666666666666,0.8,0
100,0,cosine,1,3864.061268091202,97,14,1,1.0,1.0,1.0,0
100,0,cosine,1,3878.4122231006622,97,15,0,1.0,0.6666666666666666,0.8,0
100,0,cosine,1,3892.750324010849,97,16,0,1.0,0.16666666666666666,0.2857142857142857,0
100,0,cosine,1,3905.9748752117157,97,17,1,1.0,1.0,1.0,0
100,0,cosine,1,3920.429404258728,97,18,0,0,0,0,0
100,0,cosine,1,3932.819164991379,97,20,1,1.0,1.0,1.0,0
100,0,cosine,1,3947.296329021454,97,21,1,1.0,1.0,1.0,0
100,0,cosine,1,3961.657701253891,97,22,0,1.0,0.6666666666666666,0.8,0
100,0,cosine,1,3974.0193259716034,97,23,1,1.0,1.0,1.0,0
100,0,cosine,1,3987.5675010681152,97,24,1,1.0,1.0,1.0,0
100,0,cosine,1,4003.081369161606,97,25,1,1.0,1.0,1.0,0
100,0,cosine,1,4012.5672903060913,98,8,0,0,0,0,0
100,0,cosine,2,4025.6039731502533,0,0,1,1.0,1.0,1.0,0
100,0,cosine,2,4038.2832021713257,0,1,1,1.0,1.0,1.0,0
100,0,cosine,2,4051.2987489700317,0,2,0,0.125,0.5,0.2,0
100,0,cosine,2,4064.1012229919434,0,5,0,0,0,0,0
100,0,cosine,2,4076.814168214798,0,6,1,1.0,1.0,1.0,0
100,0,cosine,2,4089.426346063614,0,8,1,1.0,1.0,1.0,0
100,0,cosine,2,4097.6338810920715,5,2,0,0,0,0,0
100,0,cosine,2,4104.030786037445,5,7,0,0,0,0,0
