Chunk_size,Chunk_Overlap,Dist_Func,Top_N,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
50,0,pairwise,2,5.643465995788574,0,0,0,0,0,0,0
50,0,pairwise,2,8.605861902236938,0,1,0,0,0,0,0
50,0,pairwise,2,11.580568790435791,0,2,0,0.14285714285714285,0.5,0.22222222222222224,0
50,0,pairwise,2,14.509582757949829,0,3,0,0,0,0,0
50,0,pairwise,2,17.440563917160034,0,5,0,0,0,0,0
50,0,pairwise,2,20.319721937179565,0,6,0,0,0,0,0
50,0,pairwise,2,23.061546087265015,0,7,0,0.3333333333333333,1.0,0.5,0
50,0,pairwise,2,25.745564937591553,0,8,0,0,0,0,0
50,0,pairwise,2,32.90115404129028,1,0,0,0,0,0,0
50,0,pairwise,2,39.2399218082428,1,1,0,0,0,0,0
50,0,pairwise,2,45.71620297431946,1,2,0,0,0,0,0
50,0,pairwise,2,52.63347411155701,1,3,0,0,0,0,0
50,0,pairwise,2,59.54242992401123,1,4,0,0,0,0,0
50,0,pairwise,2,66.1189398765564,1,5,0,0.1,1.0,0.18181818181818182,0
50,0,pairwise,2,75.04031491279602,1,7,0,0,0,0,0
50,0,pairwise,2,86.09273982048035,4,3,0,0,0,0,0
50,0,pairwise,2,97.30111384391785,4,7,0,0,0,0,0
50,0,pairwise,2,106.64053297042847,6,1,0,0,0,0,0
50,0,pairwise,2,118.30057382583618,6,5,0,0,0,0,0
50,0,pairwise,2,130.36579775810242,7,7,0,0,0,0,0
50,0,pairwise,2,143.60415291786194,11,5,0,0,0,0,0
50,0,pairwise,2,155.48535299301147,14,1,0,0,0,0,0
50,0,pairwise,2,166.70563292503357,14,3,0,0,0,0,0
50,0,pairwise,2,178.781996011734,15,3,0,0,0,0,0
50,0,pairwise,2,190.64264297485352,20,1,0,0,0,0,0
50,0,pairwise,2,200.75924515724182,21,5,0,0,0,0,0
50,0,pairwise,2,212.71061992645264,21,8,0,0,0,0,0
50,0,pairwise,2,225.11628890037537,24,5,0,0,0,0,0
50,0,pairwise,2,235.70682978630066,24,10,0,0,0,0,0
50,0,pairwise,2,248.89309906959534,28,2,0,0,0,0,0
50,0,pairwise,2,260.8462977409363,28,3,0,0,0,0,0
50,0,pairwise,2,272.26218700408936,29,0,0,0,0,0,0
50,0,pairwise,2,285.1922388076782,36,10,0,0,0,0,0
50,0,pairwise,2,295.6150059700012,36,24,0,0,0,0,0
50,0,pairwise,2,306.8412790298462,37,4,0,0,0,0,0
50,0,pairwise,2,319.91698002815247,38,5,0,0,0,0,0
50,0,pairwise,2,332.2739210128784,45,1,0,0,0,0,0
50,0,pairwise,2,344.78974294662476,49,4,0,0,0,0,0
50,0,pairwise,4,356.9332549571991,0,7,0,0,0,0,0
50,0,pairwise,4,368.2834560871124,4,5,0,0,0,0,0
50,0,pairwise,4,380.87144708633423,6,1,0,0,0,0,0
50,0,pairwise,4,393.0907027721405,7,4,0,0,0,0,0
50,0,pairwise,4,405.2294421195984,8,5,0,0,0,0,0
50,0,pairwise,4,420.21968269348145,18,5,0,0,0,0,0
50,0,pairwise,4,428.1604838371277,18,8,0,0,0,0,0
50,0,pairwise,4,440.19493889808655,20,1,0,0.4166666666666667,1.0,0.5882352941176471,0
50,0,pairwise,4,452.6206600666046,20,2,0,0,0,0,0
50,0,pairwise,4,463.8013141155243,20,4,0,0,0,0,0
50,0,pairwise,4,475.1626818180084,20,7,0,0,0,0,0
50,0,pairwise,4,487.27856492996216,21,4,0,0,0,0,0
50,0,pairwise,4,498.43192887306213,22,6,0,0,0,0,0
50,0,pairwise,4,510.85486483573914,33,5,0,0,0,0,0
50,0,pairwise,4,521.7273879051208,34,2,0,0,0,0,0
50,0,pairwise,4,530.9299221038818,34,7,0,0.08333333333333333,0.2,0.11764705882352941,0
50,0,pairwise,4,541.5962598323822,36,1,0,0,0,0,0
50,0,pairwise,4,552.4560329914093,36,10,0,0,0,0,0
50,0,pairwise,4,562.2216589450836,36,12,0,0.05263157894736842,0.2,0.08333333333333333,0
50,0,pairwise,4,571.2877089977264,37,4,0,0,0,0,0
50,0,pairwise,4,581.1947219371796,37,8,0,0,0,0,0
50,0,pairwise,4,593.7065758705139,38,5,0,0,0,0,0
50,0,pairwise,4,603.0714259147644,38,6,0,0,0,0,0
50,0,pairwise,4,612.9076368808746,38,8,0,0,0,0,0
50,0,pairwise,4,624.8057401180267,40,1,0,0,0,0,0
50,0,pairwise,4,637.5598530769348,45,1,0,0,0,0,0
50,0,pairwise,4,649.2244868278503,48,0,0,0,0,0,0
50,0,pairwise,4,659.8553409576416,49,4,0,0,0,0,0
50,0,pairwise,4,673.1037368774414,49,7,0,0,0,0,0
50,0,cosine,2,683.9509360790253,0,5,0,0.16666666666666666,1.0,0.2857142857142857,0
50,0,cosine,2,694.9615240097046,0,7,0,0,0,0,0
50,0,cosine,2,707.5792467594147,4,5,0,0,0,0,0
50,0,cosine,2,719.6538989543915,4,7,0,0,0,0,0
50,0,cosine,2,729.6562168598175,5,2,0,0,0,0,0
50,0,cosine,2,740.2470018863678,5,7,0,0,0,0,0
50,0,cosine,2,751.323618888855,6,1,0,0,0,0,0
