Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
300,0,5.833422660827637,1,0,0,0,0,0,0
300,0,3.5841689109802246,2,0,0,0,0,0,0
300,0,3.5488619804382324,3,0,0,0.6666666666666666,1.0,0.8,0
300,0,7.935503005981445,4,0,0,0.025974025974025976,1.0,0.05063291139240507,0
300,0,4.125609874725342,5,0,0,0,0,0,0
300,0,3.955289125442505,6,0,0,0,0,0,0
300,0,3.665740728378296,7,0,0,0,0,0,0
300,0,3.4668378829956055,8,0,0,0,0,0,0
300,0,4.967982769012451,9,0,0,0,0,0,0
300,0,3.1845829486846924,10,0,0,0,0,0,0
300,0,2.8529419898986816,11,0,0,0.2727272727272727,1.0,0.42857142857142855,0
300,0,3.8687222003936768,12,0,0,0,0,0,0
300,0,3.3638978004455566,13,0,0,0,0,0,0
300,0,3.467607021331787,14,0,0,0,0,0,0
300,0,3.1377570629119873,15,0,0,0.75,1.0,0.8571428571428571,0
300,0,3.6107418537139893,16,0,0,0,0,0,0
300,0,3.2846157550811768,17,0,0,0,0,0,0
300,0,6.617894887924194,18,0,0,0,0,0,0
300,0,3.9148027896881104,19,0,1,1.0,1.0,1.0,0
300,0,3.5526530742645264,20,0,0,0,0,0,0
300,0,3.287137031555176,21,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
300,0,3.451677083969116,22,0,0,0,0,0,0
300,0,7.107985973358154,23,0,0,0,0,0,0
300,0,3.797222852706909,24,0,0,0.4166666666666667,0.8333333333333334,0.5555555555555556,0
300,0,7.622167110443115,25,0,0,0,0,0,0
300,0,8.351462125778198,26,0,0,0.012658227848101266,1.0,0.024999999999999998,0
300,0,3.235361099243164,27,0,0,0,0,0,0
300,0,3.489410161972046,28,0,0,0,0,0,0
300,0,3.382237195968628,29,0,0,0,0,0,0
300,0,2.7683298587799072,30,0,0,0,0,0,0
300,0,3.188516139984131,31,0,0,0,0,0,0
300,0,3.5582258701324463,32,0,0,0,0,0,0
300,0,3.841677188873291,33,0,0,0,0,0,0
300,0,3.484520196914673,34,0,0,0,0,0,0
300,0,3.8317160606384277,35,0,0,0,0,0,0
300,0,3.3975443840026855,36,0,0,0.5,1.0,0.6666666666666666,0
300,0,3.3831369876861572,37,0,0,0.5,1.0,0.6666666666666666,0
300,0,3.2679591178894043,38,0,0,0.5,0.5,0.5,0
300,0,3.493879795074463,39,0,0,0.625,1.0,0.7692307692307693,0
