Chunk_size,Chunk_Overlap,Time,Story Number,Question Number,EM,Precision,Recall,F1,Error
0,0,10.45133376121521,1,0,0,0,0,0,0
0,0,2.919279098510742,2,0,0,0,0,0,0
0,0,1.7763891220092773,3,0,0,0,0,0,0
0,0,2.252685070037842,4,0,0,0.5,0.5,0.5,0
0,0,2.7681710720062256,5,0,0,0.08333333333333333,1.0,0.15384615384615385,0
0,0,2.58476185798645,6,0,0,0,0,0,0
0,0,2.173443078994751,7,0,1,1.0,1.0,1.0,0
0,0,2.523449182510376,8,0,0,0,0,0,0
0,0,2.6469998359680176,9,0,0,0,0,0,0
0,0,3.126427173614502,10,0,0,0,0,0,0
0,0,2.5944910049438477,11,0,0,0.1875,1.0,0.3157894736842105,0
0,0,2.408398151397705,12,0,0,0.5,1.0,0.6666666666666666,0
0,0,2.5491299629211426,13,0,0,0,0,0,0
0,0,2.2958316802978516,14,0,0,0.125,0.125,0.125,0
0,0,2.0915262699127197,15,0,0,0.5,1.0,0.6666666666666666,0
0,0,2.2454938888549805,16,0,0,0,0,0,0
0,0,1.959916114807129,17,0,0,0.5,1.0,0.6666666666666666,0
0,0,7.426156997680664,18,0,0,0,0,0,0
0,0,3.2642457485198975,19,0,1,1.0,1.0,1.0,0
0,0,3.4289939403533936,20,0,0,0,0,0,0
0,0,2.6934168338775635,21,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
0,0,2.114692211151123,22,0,0,0,0,0,0
0,0,3.212860345840454,23,0,0,0.03571428571428571,0.2,0.06060606060606061,0
0,0,3.088120937347412,24,0,0,0.3125,0.8333333333333334,0.45454545454545453,0
0,0,2.7273659706115723,25,0,0,0,0,0,0
0,0,7.685158967971802,26,0,0,0.011494252873563218,1.0,0.022727272727272724,0
0,0,2.484762191772461,27,0,0,0.5,1.0,0.6666666666666666,0
0,0,2.2837979793548584,28,0,0,0,0,0,0
0,0,2.595755100250244,29,0,0,0.5,0.5,0.5,0
0,0,1.431138038635254,30,0,0,0,0,0,0
0,0,1.9972877502441406,31,0,0,0,0,0,0
0,0,2.40610408782959,32,0,0,0,0,0,0
0,0,2.357753038406372,33,0,0,0,0,0,0
0,0,2.497969150543213,34,0,0,0,0,0,0
0,0,2.0668649673461914,35,0,0,0,0,0,0
0,0,2.447115182876587,36,0,0,0.5,1.0,0.6666666666666666,0
0,0,1.7555301189422607,37,0,0,0,0,0,0
0,0,2.0435702800750732,38,0,0,0.3333333333333333,0.5,0.4,0
0,0,2.39959716796875,39,0,0,0.8,0.8,0.8000000000000002,0
0,0,2.2325758934020996,40,0,0,0.6666666666666666,0.5,0.5714285714285715,0
0,0,2.572248697280884,41,0,0,0,0,0,0
0,0,2.4881272315979004,42,0,0,0,0,0,0
0,0,5.28480076789856,43,0,0,0.009708737864077669,0.3333333333333333,0.018867924528301886,0
0,0,2.387084722518921,44,0,0,0,0,0,0
0,0,2.3228440284729004,45,0,1,1.0,1.0,1.0,0
0,0,1.9340176582336426,46,0,0,0,0,0,0
0,0,1.8108937740325928,47,0,0,0,0,0,0
0,0,2.3333098888397217,48,0,0,0,0,0,0
0,0,3.0189781188964844,49,0,0,0,0,0,0
0,0,4.424182176589966,50,0,0,0.022727272727272728,1.0,0.044444444444444446,0
0,0,2.284477949142456,51,0,0,0,0,0,0
0,0,2.443722724914551,52,0,0,0,0,0,0
0,0,2.146217107772827,53,0,0,0,0,0,0
0,0,2.328413248062134,54,0,0,0,0,0,0
0,0,1.8427019119262695,55,0,0,0,0,0,0
0,0,1.9425048828125,56,0,0,0,0,0,0
0,0,2.7669460773468018,57,0,0,0,0,0,0
0,0,2.9084928035736084,58,0,0,0,0,0,0
0,0,6.221300840377808,59,0,0,0.0273972602739726,1.0,0.05333333333333332,0
0,0,2.128396987915039,60,0,0,0,0,0,0
0,0,2.2955307960510254,61,0,0,0,0,0,0
0,0,1.8890869617462158,62,0,0,0,0,0,0
0,0,1.9093530178070068,63,0,0,0,0,0,0
0,0,3.082458972930908,64,0,0,0,0,0,0
0,0,3.126676082611084,65,0,0,0,0,0,0
0,0,1.9070298671722412,66,0,0,0,0,0,0
0,0,2.868436098098755,67,0,0,0,0,0,0
0,0,2.4037539958953857,68,0,0,0.5,1.0,0.6666666666666666,0
0,0,2.469437837600708,69,0,0,0,0,0,0
0,0,1.659168004989624,70,0,0,0,0,0,0
0,0,5.782506942749023,71,0,0,0,0,0,0
0,0,5.605288028717041,72,0,0,0,0,0,0
0,0,1.9072027206420898,73,0,0,0,0,0,0
0,0,3.380498170852661,74,0,0,0.2,1.0,0.33333333333333337,0
0,0,2.2733988761901855,75,0,0,0,0,0,0
0,0,3.481801986694336,76,0,0,0,0,0,0
0,0,2.30073618888855,77,0,0,0.5,1.0,0.6666666666666666,0
0,0,2.43017315864563,78,0,0,0,0,0,0
0,0,1.9624991416931152,79,0,0,0,0,0,0
0,0,2.2744998931884766,80,0,0,0,0,0,0
0,0,1.8297970294952393,81,0,0,0,0,0,0
0,0,3.34197998046875,82,0,1,1.0,1.0,1.0,0
0,0,1.89115309715271,83,0,0,0,0,0,0
0,0,5.545843124389648,84,0,0,0.029850746268656716,1.0,0.05797101449275362,0
0,0,4.2106170654296875,85,0,0,0,0,0,0
0,0,2.1037440299987793,86,0,0,0,0,0,0
0,0,3.3707849979400635,87,0,0,0,0,0,0
0,0,1.871593952178955,88,0,0,0,0,0,0
0,0,2.368095874786377,89,0,0,0,0,0,0
0,0,1.343040943145752,90,0,0,0,0,0,0
0,0,2.0850729942321777,91,0,0,0,0,0,0
0,0,2.0927469730377197,92,0,0,0,0,0,0
0,0,2.376711130142212,93,0,0,0,0,0,0
0,0,3.176063060760498,94,0,0,0,0,0,0
0,0,2.6919870376586914,95,0,0,0,0,0,0
0,0,1.742492914199829,96,0,0,0,0,0,0
0,0,2.436142921447754,97,0,0,0,0,0,0
0,0,2.56074595451355,98,0,0,0.25,1.0,0.4,0
0,0,2.3490490913391113,99,0,0,0.75,1.0,0.8571428571428571,0
0,0,6.757056951522827,100,0,0,0,0,0,0
